COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
78.0,0.0,4202.564102564104,4151.794871794873,4172.307692307694,4188.20512820513,4165.128205128207,4179.487179487181,4052.3076923076937,4184.615384615386,4178.46153846154,4190.256410256412,4195.384615384617,4217.94871794872,3980.512820512822,4180.000000000002,807.0,2044.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,0.0,4209.23076923077,4166.153846153848,4180.000000000002,4202.564102564104,4170.769230769232,4178.97435897436,4104.102564102565,4196.410256410258,4182.051282051283,4187.692307692309,4194.3589743589755,4230.769230769232,3982.564102564104,4188.20512820513,825.0,2044.0,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,0.0,4193.333333333335,4154.3589743589755,4159.487179487181,4192.8205128205145,4168.71794871795,4179.487179487181,4111.282051282053,4190.769230769232,4173.846153846155,4186.153846153848,4190.256410256412,4215.384615384617,3971.2820512820526,4176.410256410258,839.0,2045.0,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,0.0,4193.846153846155,4154.3589743589755,4154.871794871797,4180.512820512822,4167.692307692309,4177.94871794872,4094.358974358976,4177.94871794872,4173.846153846155,4191.282051282053,4194.3589743589755,4208.71794871795,3971.2820512820526,4171.282051282053,845.0,2044.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,0.0,4198.46153846154,4155.897435897437,4165.641025641027,4153.333333333335,4172.8205128205145,4172.307692307694,4080.0000000000014,4189.743589743592,4182.564102564104,4190.256410256412,4200.000000000002,4213.333333333335,3967.692307692309,4175.897435897437,807.0,2044.0,2041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,0.0,4176.410256410258,4144.615384615386,4145.128205128207,4145.128205128207,4167.692307692309,4168.20512820513,4036.9230769230785,4191.282051282053,4170.256410256412,4182.564102564104,4182.564102564104,4206.153846153848,3954.8717948717963,4163.589743589745,825.0,2044.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,0.0,4185.641025641027,4159.487179487181,4150.256410256412,4189.23076923077,4167.692307692309,4174.3589743589755,3989.743589743591,4172.8205128205145,4159.487179487181,4185.641025641027,4174.3589743589755,4218.46153846154,3963.589743589745,4175.384615384617,839.0,2044.0,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,0.0,4204.102564102565,4174.3589743589755,4168.71794871795,4191.282051282053,4165.641025641027,4173.846153846155,3991.7948717948734,4168.71794871795,4166.153846153848,4190.256410256412,4183.076923076925,4220.512820512822,3973.333333333335,4188.20512820513,845.0,2042.0,2043.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,0.0,4192.307692307694,4161.538461538463,4162.051282051283,4147.179487179489,4165.641025641027,4170.769230769232,4032.8205128205145,4177.94871794872,4171.282051282053,4186.666666666668,4185.128205128207,4205.641025641027,3967.692307692309,4170.769230769232,807.0,2043.0,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,0.0,4208.20512820513,4170.256410256412,4178.46153846154,4164.615384615386,4171.282051282053,4178.97435897436,4053.333333333335,4193.333333333335,4180.000000000002,4190.256410256412,4192.8205128205145,4237.94871794872,3983.589743589745,4188.71794871795,825.0,2042.0,2044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
