COUNTER,INTERPOLATED,AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,RAW_CQ,GYROX,GYROY,MARKER,SYNC,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4,CQ_CMS,CQ_DRL
118.0,0.0,4193.846153846155,4193.333333333335,4185.641025641027,4197.435897435899,4182.564102564104,4195.897435897437,4094.358974358976,4187.692307692309,4212.8205128205145,4205.641025641027,4203.076923076925,4214.871794871797,4296.923076923078,4201.0256410256425,859.0,2045.0,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119.0,0.0,4193.846153846155,4200.512820512822,4180.512820512822,4209.23076923077,4180.000000000002,4194.3589743589755,4105.641025641027,4185.128205128207,4210.769230769232,4205.128205128207,4195.897435897437,4210.256410256412,4288.71794871795,4195.897435897437,826.0,2045.0,2045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,0.0,4189.23076923077,4203.589743589745,4180.512820512822,4216.410256410258,4183.589743589745,4193.846153846155,4122.051282051283,4184.615384615386,4209.743589743592,4208.71794871795,4199.487179487181,4216.410256410258,4293.846153846155,4200.512820512822,833.0,2046.0,2047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121.0,0.0,4196.410256410258,4198.97435897436,4192.8205128205145,4209.23076923077,4183.589743589745,4194.871794871797,4116.410256410258,4192.8205128205145,4215.897435897437,4207.692307692309,4208.20512820513,4226.153846153848,4295.897435897437,4211.794871794873,844.0,2045.0,2049.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122.0,0.0,4194.3589743589755,4184.615384615386,4193.333333333335,4195.897435897437,4181.0256410256425,4185.641025641027,4111.282051282053,4188.71794871795,4213.333333333335,4202.564102564104,4204.102564102565,4224.615384615386,4287.179487179489,4206.153846153848,859.0,2046.0,2051.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123.0,0.0,4186.666666666668,4182.564102564104,4189.743589743592,4192.8205128205145,4183.076923076925,4178.46153846154,4143.076923076925,4182.051282051283,4209.743589743592,4206.153846153848,4197.435897435899,4220.512820512822,4286.666666666668,4197.435897435899,826.0,2045.0,2052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124.0,0.0,4191.282051282053,4206.153846153848,4193.333333333335,4196.923076923078,4181.0256410256425,4186.153846153848,4164.615384615386,4194.3589743589755,4220.000000000002,4212.307692307694,4207.179487179489,4225.128205128207,4294.3589743589755,4201.0256410256425,833.0,2045.0,2053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125.0,0.0,4195.897435897437,4204.615384615386,4197.94871794872,4213.333333333335,4183.076923076925,4194.871794871797,4161.0256410256425,4203.076923076925,4225.128205128207,4209.743589743592,4222.564102564104,4234.3589743589755,4296.923076923078,4209.23076923077,844.0,2047.0,2056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,0.0,4192.8205128205145,4173.333333333335,4196.923076923078,4223.076923076925,4184.615384615386,4186.666666666668,4152.8205128205145,4191.282051282053,4214.871794871797,4206.153846153848,4213.846153846155,4233.333333333335,4294.3589743589755,4210.256410256412,859.0,2048.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127.0,0.0,4196.923076923078,4188.20512820513,4198.46153846154,4206.153846153848,4182.564102564104,4175.897435897437,4135.384615384617,4182.564102564104,4212.8205128205145,4210.256410256412,4201.0256410256425,4227.692307692309,4296.923076923078,4211.794871794873,826.0,2048.0,2058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
